name,calories,protein_g,sugar_g,fat_g,cost_inr,veg
Chicken Tikka (100g),175,24.0,2.0,7.5,80,no
Fish Fry (100g),195,20.0,1.5,11.0,90,no
Prawn Curry (100g),165,18.0,3.5,8.0,130,no
Egg Fried Rice (100g),190,7.5,3.0,7.5,40,no
Chicken Keema (100g),220,20.0,2.5,14.0,70,no
Chicken Soup (200ml),75,10.0,2.5,2.5,50,no
Lamb Chops (100g),255,22.0,0.0,18.0,150,no
Namkeen Mix (30g),155,4.5,1.5,9.0,15,yes
Overnight Oats (100g),160,6.5,8.0,4.5,30,yes
Avocado Toast,180,5.0,1.5,10.0,60,yes
Peanut Butter Toast,210,8.5,5.5,11.0,35,yes
Cheese Toast,200,9.0,2.0,10.0,30,yes
Roasted Peanuts (30g),170,7.5,1.0,14.5,10,yes
Moong Dal Chilla (1 piece),130,8.0,2.0,3.5,15,yes
Rava Idli (2 pieces),140,4.5,1.5,3.5,18,yes
Pesarattu Upma (100g),180,7.5,2.5,5.5,20,yes
Dahi Vada (2 pieces),200,8.5,6.0,7.5,30,yes
Veg Pulao (100g),190,4.0,2.0,6.0,25,yes
Tomato Soup (200ml),60,2.0,7.0,1.5,20,yes
Spinach Soup (200ml),50,2.5,3.5,1.5,25,yes
Corn Soup (200ml),90,3.0,8.0,2.5,25,yes
Lentil Soup (200ml),130,8.0,3.0,2.0,20,yes
Pumpkin Soup (200ml),70,2.0,6.5,2.0,25,yes
Vegetable Soup (200ml),55,2.0,5.0,1.0,20,yes
Egg Drop Soup (200ml),65,5.5,2.0,3.0,25,no
Chicken Noodle Soup (200ml),85,8.0,3.0,2.5,45,no
Mixed Sprouts Salad (100g),100,8.5,2.0,1.5,25,yes
Quinoa Salad (100g),130,5.5,3.0,4.5,60,yes
Chickpea Salad (100g),150,8.0,3.5,4.0,30,yes
Cucumber Raita (100g),55,3.0,4.5,2.5,15,yes
Boondi Raita (100g),90,3.5,6.0,4.0,20,yes
Onion Raita (100g),60,3.0,5.0,2.5,15,yes
Mint Raita (100g),55,2.8,4.0,2.5,15,yes
Nut Granola Bar (30g),130,3.5,9.0,6.0,50,yes
Sesame Energy Ball (30g),145,4.0,7.0,8.5,20,yes
Dates with Almonds (30g),120,2.5,16.5,4.5,30,yes
Foxnuts/Makhana (30g),105,3.5,0.2,0.4,30,yes
Roasted Lotus Seeds (30g),108,3.8,0.2,0.5,35,yes
